"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","test_inv_009","tests","Tue May 26 09:36:44 UTC 2026","passed","Tue May 26 09:36:45 UTC 2026","TestInventory","test_inventory","",""
"","3678","test_check_008","tests","Tue May 26 09:35:44 UTC 2026","passed","Tue May 26 09:35:47 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","2297","test_auth_003_004_005_006_007_008[True-admin' OR 1=1-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:20 UTC 2026","passed","Tue May 26 09:34:22 UTC 2026","TestAuth","test_auth","",""
"","1056","test_inv_010","tests","Tue May 26 09:36:47 UTC 2026","passed","Tue May 26 09:36:48 UTC 2026","TestInventory","test_inventory","",""
"","1558","test_cart_002","tests","Tue May 26 09:34:39 UTC 2026","passed","Tue May 26 09:34:41 UTC 2026","TestCart","test_cart","",""
"","2286","test_auth_003_004_005_006_007_008[True--secret_sauce-Epic sadface: Username is required]","tests","Tue May 26 09:34:14 UTC 2026","passed","Tue May 26 09:34:16 UTC 2026","TestAuth","test_auth","",""
"","2327","test_ui_008","tests","Tue May 26 09:37:03 UTC 2026","passed","Tue May 26 09:37:05 UTC 2026","TestUI","test_ui","",""
"","1043","test_inv_008","tests","Tue May 26 09:36:40 UTC 2026","passed","Tue May 26 09:36:41 UTC 2026","TestInventory","test_inventory","",""
"","2895","test_auth_010","tests","Tue May 26 09:34:05 UTC 2026","passed","Tue May 26 09:34:08 UTC 2026","TestAuth","test_auth","",""
"","701","test_ui_006","tests","Tue May 26 09:36:59 UTC 2026","passed","Tue May 26 09:36:59 UTC 2026","TestUI","test_ui","",""
"","1058","test_cart_004","tests","Tue May 26 09:34:47 UTC 2026","passed","Tue May 26 09:34:48 UTC 2026","TestCart","test_cart","",""
"","2375","test_auth_001","tests","Tue May 26 09:33:48 UTC 2026","passed","Tue May 26 09:33:50 UTC 2026","TestAuth","test_auth","",""
"","2294","test_auth_003_004_005_006_007_008[page0-standard_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:09 UTC 2026","passed","Tue May 26 09:34:11 UTC 2026","TestAuth","test_auth","",""
"","2879","test_check_001","tests","Tue May 26 09:35:55 UTC 2026","passed","Tue May 26 09:35:58 UTC 2026","TestCheckout","test_e2e","",""
